time_s,L Aud,R Aud,Striate,L DMN,Med DMN,Front DMN,R DMN,Occ post,Motor,R DLPFC,R Front pol,R Par,R Post Temp,Basal,L Par,L DLPFC,L Front pol,L IPS,R IPS,L LOC,Vis,R LOC,D ACC,V ACC,R A Ins,L STS,R STS,L TPJ,Broca,Sup Front S,R TPJ,R Pars Op,Cereb,Dors PCC,L Ins,Cing,R Ins,L Ant IPS,R Ant IPS
0.0,-1.130251,-0.7676426,-3.4343407,-0.102504164,-0.2987912,2.3391705,-0.46069586,-0.0110738855,-0.69996876,1.1563655,0.7819684,1.9146669,0.33799782,0.2128198,1.2390852,0.7062767,-0.26324734,-1.5033159,-2.0910559,-1.2483035,-3.3003833,-2.1658869,1.4320792,0.32421535,0.3379907,-1.6843927,-1.2324699,-0.005169303,0.27221707,0.4237316,-0.11612273,0.6052073,-2.956911,-0.8918004,0.5602258,-0.15209228,-0.1595406,-1.3052907,-0.27353927
2.0,-0.4617835,0.33879682,-0.5283617,-0.7607916,-0.46132442,0.11929686,-0.8615263,0.39582056,0.062233638,1.0546726,1.59988,0.10700168,-0.6888966,-0.7375106,0.451656,0.9141438,0.584789,-0.35594642,-0.092640966,0.10820669,-1.0514323,-0.9591946,0.74287313,-0.17236027,0.7095655,-1.1911058,-1.3269157,-0.47504056,-1.2880244,0.46142888,-0.008498158,-3.577477,0.07350269,-1.3551099,-0.15261301,1.5487249,0.093956456,-0.34225672,-0.16173935
4.0,0.81017303,0.29361606,0.8935582,0.39678442,0.006163813,-0.79416764,-0.39290306,-0.5375161,0.24412741,-0.58169496,-0.19814914,-0.6796922,-1.4027346,-1.5053079,1.1175379,1.0279129,0.50671244,-1.2064985,-0.5611748,-1.4478065,-2.327285,-1.4458987,0.98853695,1.3207148,0.60254556,-1.9522997,-1.291079,-0.43697727,-0.63103694,1.5306425,-1.2372544,-3.2073698,-0.81444293,-0.5437117,-0.5959735,-0.5491018,-1.0587667,0.041115686,-0.789712
6.0,0.27949998,0.56332225,1.3893021,1.3751472,1.1156257,0.13206176,0.34764794,-1.2530751,-1.036028,-1.1169735,-0.7904914,0.17113297,0.18519993,-1.8690486,1.7423767,0.88316524,0.6050035,-1.2397736,-0.5581803,-2.003566,-1.948378,-1.9196475,0.79206496,1.2498448,-0.5311263,-1.3645889,-0.96377,0.6551049,-0.9892034,0.38296792,-1.1190338,-2.1171567,0.04731906,-0.9361301,-0.5778824,-1.7365624,-1.4893342,-0.4088671,-1.0167329
8.0,1.1369952,-0.41985327,0.6436383,2.7415233,2.6263397,1.2227901,0.91749233,-1.8750775,-1.2977142,0.2674771,0.26033393,1.5575182,0.26806083,0.10372834,1.7105247,2.1478045,1.108601,0.015120492,0.30133304,-1.8176287,-0.7086703,-2.3416271,1.1960708,0.26974532,-1.1120691,-1.6151102,-0.82868814,0.4439368,-0.8456274,0.4298418,-2.8731656,-0.79376435,-1.3895279,1.0846208,-0.7097194,-1.1856132,-1.2180121,-0.8075011,-1.1179122
10.0,-1.0755922,-1.171714,0.17640953,2.3088088,2.3295357,-0.12891585,0.17674904,-2.3868213,-0.91494644,0.06557894,0.527023,1.7931811,1.4616052,1.2571032,1.721996,1.3486707,2.709944,0.25782353,0.7628361,-1.7507932,-1.5037695,-2.227499,0.79430294,-0.0038249064,0.6209948,0.46570814,0.29383454,-0.74346334,-0.9984946,-0.889963,-2.6141999,-0.5313149,-1.5580018,1.0953885,-0.47564858,0.36262894,-0.12084218,-0.44940972,-0.35574454
12.0,-0.47202766,-0.023126911,-0.12359059,2.0576134,2.009972,-0.695281,-1.1423593,-4.243632,-0.10837987,0.47231424,0.7110258,1.5996062,1.2897032,0.62313175,1.3238093,1.242571,2.2604327,-0.8528638,0.23361523,-3.4273176,-3.0455618,-3.524996,1.5554365,1.3888365,0.39242294,-0.06304018,0.3186203,-0.30387175,-1.1979041,1.5050957,-1.9871718,0.21057485,-1.9306555,0.67179614,-0.08384572,-1.0576255,-0.3905056,-0.25812265,-0.3768171
14.0,0.18124752,-0.5938184,-1.6596206,1.881917,1.6861275,0.6025264,0.18920903,-3.4698658,0.08706976,-0.70019543,-0.9040931,0.22184819,-1.0097607,0.8317513,-0.03352565,0.40806633,0.56446105,-0.8603554,-0.29231575,-3.4349551,-2.35166,-3.3262594,0.6452572,0.77937,0.14629032,-1.0922496,-0.69062835,0.5796222,-0.75871855,-0.39741552,-0.6577115,-0.4523203,-0.64156276,-0.38822666,-0.88904554,-2.3513973,-1.1707749,-0.71475583,-0.48543808
16.0,-0.91312325,-1.3971496,-1.0180331,1.5787946,1.1202657,1.3720082,0.30368218,-1.8607272,-0.18917485,-1.2487458,-1.3175681,-0.30777755,0.9739739,0.11799003,-0.053285275,-0.7210287,-0.74041724,-0.74364734,-0.26988468,-1.4314246,-1.1503258,-1.7745831,0.19756515,1.1985127,-0.32106048,-1.1523316,-0.40462294,0.48628196,-1.000191,-0.72090954,-0.94722193,0.88698024,-2.4367456,-0.5334712,0.5729424,-1.5249422,-0.5155334,-0.71701324,-0.8385377
18.0,-0.9757133,-1.3522451,-0.36897427,0.7463997,-0.25689864,1.4250131,1.0994478,-0.79535013,-0.2973412,-0.53734654,-1.3477167,-0.6940372,0.2721994,-0.05027079,-0.14193767,-0.0137868365,-0.74675953,-0.1793147,-0.14630313,-0.0345251,0.32498318,-0.18759115,0.027107753,-0.20263378,-0.17650028,-0.66781265,-0.2630858,0.7811207,0.08475031,-0.28158987,0.86591226,0.50200963,-1.0746083,-0.7932442,0.4595651,-0.6719995,-0.018561337,-0.64265,-0.27838308
20.0,-0.4559661,-0.25840682,0.5244325,0.34450912,-0.5231281,1.9690117,0.90438265,0.658019,0.33521003,-0.39192358,-0.9586123,-0.36445767,1.4195498,0.78673947,0.59756935,-0.12839861,-1.3373799,0.96359587,1.274091,1.7356868,0.5160676,1.0973607,-1.4107547,-1.4854,-0.58182216,0.08665611,-0.19785468,-0.54922104,1.3782039,-0.9122101,0.42853686,0.87156236,-0.6466103,-0.98195595,-2.0311458,0.030230302,-1.0758032,-0.6403413,0.022158943
22.0,-0.16540627,0.37312153,-0.14526051,1.7665589,-0.39004555,1.662125,0.4561945,0.051679693,-0.3977977,-1.471386,-1.0905876,-0.873129,-0.17815551,-0.15259697,0.23923536,-0.08883339,-0.00041998093,0.7539573,1.1982651,0.7089397,-1.131987,0.072802484,-2.1382654,-1.5773033,-1.2764965,-0.89924335,-1.1603575,-2.1461775,-1.4604104,-0.6077662,-1.1076349,-2.2139597,-1.93166,-1.4177454,-1.5220207,-1.3751725,-2.1146228,-0.3671907,-0.9459187
24.0,1.4957743,2.1459515,1.3898671,1.3541665,0.21211176,0.7500459,-0.04743904,0.94940406,1.4548949,-0.102101736,-0.2446453,0.5295564,0.9379012,1.6393155,-0.4839661,-1.0947446,-0.1526823,0.2931306,0.85079247,1.3859735,-0.03267765,0.74032104,-1.2992747,-0.6961248,-0.9886862,0.84777516,0.5197986,-2.472462,-1.0430089,-1.6667273,-2.1640894,-0.5704332,-0.1455908,-1.734079,-0.30647543,0.5493079,-0.6242186,-0.6117629,0.65596664
26.0,0.497445,1.0283927,1.4021196,-0.73401386,-0.8633,-1.3690803,-0.5739733,0.8400063,0.44751176,-0.07443602,-0.010058134,0.18830211,0.4018901,1.5336845,-1.3998098,-0.5903629,0.038161375,0.13260727,-0.8040948,0.20114596,0.76309156,0.04075629,-0.63219875,0.1336125,0.099206276,0.49420345,0.106589,-0.40975863,-0.4860446,0.7113312,-1.2313792,-0.9727297,-0.9668751,-0.9063498,0.70303166,0.6981233,-0.15838099,-0.34266642,0.3773196
28.0,0.7506912,0.068481095,2.3548124,-2.207931,-0.82974386,-1.5384741,-1.671409,0.8450154,-0.27998874,0.8703399,0.7766181,0.5037178,0.048426375,0.77732694,-0.64750385,0.19591734,0.54590416,0.7224011,-0.8174355,-0.25945586,1.7564055,0.6288019,-0.24053682,0.50561965,0.8959389,0.3579853,0.9065924,0.8522347,0.30680752,0.10460482,0.6369102,1.3440738,-0.2287699,-0.13281277,1.612253,1.7690005,2.517469,0.34371758,0.43105856
30.0,0.6343003,0.3217161,2.4227583,-2.4619548,-1.3742986,-2.183122,-1.6514025,1.611526,-0.69106793,1.15396,1.9123008,0.64188546,-0.44685996,-0.9834861,-1.054564,0.7511553,0.9267857,0.40671217,-0.37382954,0.3614946,2.4641678,1.3334028,-0.011045055,-0.037959658,1.8681155,-1.1366119,-1.2186241,-0.63298345,-1.5175741,-0.53579944,0.81295615,1.5909468,0.0049028615,0.55210227,0.20494004,-1.1471512,1.0416923,-0.13544315,0.58247346
32.0,0.43635553,1.4274707,1.2864953,-1.8252337,-1.0136511,-0.98065597,-1.3548181,1.8810861,0.20563613,1.3930323,1.8689866,0.56061584,-0.24350825,-0.3402005,-0.031849977,-0.27010784,0.95751727,-0.76992023,-0.16883689,0.913932,2.0079513,1.5468841,-1.0533137,-0.41847038,1.4408847,-0.55709636,-0.5027511,-1.3623812,-0.49873224,-1.0603644,0.0132683655,2.3926244,0.6536548,0.17975233,-0.31414247,-0.3711779,0.46381295,0.24443556,0.23499316
34.0,0.9910362,1.546335,0.70074284,-0.49975136,-0.2125027,0.20109454,-1.0836016,1.8600254,0.070554025,1.6356857,1.8569516,0.50836635,0.7543768,-0.2336334,-0.105063744,-0.3465692,0.30164418,-0.13862832,0.017415473,1.0201802,1.3120576,1.3622618,-1.4559696,0.49596858,0.9565801,0.52725416,1.0683937,-0.17594925,0.42274413,1.3073064,-0.2754696,1.1736937,2.074146,-0.20763417,0.6882968,1.0722075,1.1335832,-1.4192243,0.08738654
