participant_id,age,group,n_timepoints
sub-pixar001,4.774811773,child,168
sub-pixar023,3.865845311,child,168
sub-pixar022,3.822039699,child,168
sub-pixar021,4.364134155,child,168
sub-pixar020,3.594798084,child,168
sub-pixar019,3.969883641,child,168
sub-pixar018,4.577686516,child,168
sub-pixar017,3.613963039,child,168
sub-pixar016,3.622176591,child,168
sub-pixar015,4.76659822,child,168
sub-pixar014,3.635865845,child,168
sub-pixar024,4.057494867,child,168
sub-pixar013,3.849418207,child,168
sub-pixar011,3.983572895,child,168
sub-pixar010,4.358658453,child,168
sub-pixar009,3.518138261,child,168
sub-pixar008,3.529089665,child,168
sub-pixar007,4.249144422,child,168
sub-pixar006,3.605749487,child,168
sub-pixar005,4.837782341,child,168
sub-pixar004,4.473648186,child,168
sub-pixar003,4.153319644,child,168
sub-pixar002,4.856947296,child,168
sub-pixar012,3.786447639,child,168
sub-pixar025,3.93155373,child,168
sub-pixar123,27.06,adult,168
sub-pixar145,22.0,adult,168
sub-pixar144,20.0,adult,168
sub-pixar143,22.0,adult,168
sub-pixar142,33.0,adult,168
sub-pixar141,22.0,adult,168
sub-pixar140,19.0,adult,168
sub-pixar139,18.0,adult,168
sub-pixar138,28.0,adult,168
sub-pixar137,34.0,adult,168
sub-pixar136,25.0,adult,168
sub-pixar146,18.0,adult,168
sub-pixar135,21.0,adult,168
sub-pixar133,21.0,adult,168
sub-pixar132,22.0,adult,168
sub-pixar131,39.0,adult,168
sub-pixar130,21.0,adult,168
sub-pixar129,23.0,adult,168
sub-pixar128,27.0,adult,168
sub-pixar127,23.0,adult,168
sub-pixar126,19.0,adult,168
sub-pixar125,31.0,adult,168
sub-pixar124,33.44,adult,168
sub-pixar134,25.0,adult,168
sub-pixar147,21.0,adult,168
